"sigla_evento";"nome_evento";"estrato"
EVOCOP;European Conference on Evolutionary Computation in Combinatorial Optimization;B1
EWC;EMBEDDED WORLD CONFERENCE;B3
EWSDN;European Workshop on Software Defined Networks;A4
EWSN;European Conference on Wireless Sensor Networks;B1
EXAMPI;Workshop on Exascale MPI;B3
EXP.AT;Experiment@ International Conference;B2
FACS;International Conference on Formal Aspects of Component Software;B2
FASE;International Conference on Fundamental Approaches to Software Engineering;A3
FAST;USENIX Conference on File and Storage Technologies;A1
FC;International Conference on Financial Cryptography and Data Security;A1
FCCM;IEEE Annual International Symposium on Field-Programmable Custom Computing Machines;A3
FCT;International Symposium on Fundamentals of Computation Theory;B2
FCTA;International Conference on Fuzzy Computation Theory and Applications;B4
FDG;Foundations of Digital Games;A3
FDL;Forum on Specification and Design Languages;B3
FECS-WS;International Conference on Frontiers in Education: Computer Science and Computer Engineering;B3
FEDCSIS;Federated Conference on Computer Science and Information Systems;A2
FG;Conference on Formal Grammar;B3
FGR;IEEE International Conference on Automatic Face and Gesture Recognition;A1
FiCloud;International Conference on Future Internet of Things and Cloud;A4
FIE;IEEE Frontiers in Education Conference;A3
FIT;INTERNATIONAL CONFERENCE ON FRONTIERS OF INFORMATION TECHNOLOGY;B2
FLAIRS;International Florida Artificial Intelligence Conference;A4
FM;International Symposium on Formal Methods;A3
FMCAD;International Conference on Formal Methods in Computer-Aided Design;A3
FOCI;IEEE Symposium on Foundations of Computational Intelligence;B2
FOCS;IEEE Annual Symposium on Foundations of Computer Science;A1
FOGA;ACM Conference on Foundations of Genetic Algorithms;B2
FoIKS;International Symposium on Foundations on Information and Knowledge Systems;B3
FOIS;International Conference on Formal Ontology in Information Systems;B4
ICPC;International Conference on Program Comprehension;A3
FORMATS;International Conference on Formal Modeling and Analysis of Timed Systems;B1
FOSD;International Workshop on Feature-Oriented Software Development;B3
FoSSaCS;International Conference on Foundations of Software Science and Computation Structures;A3
FPGA;Symposium on Field Programmable Gate Arrays;A2
FPL;International Conference on Field-Programmable Logic and Applications;A2
FROCOS;International Symposium on Frontiers of Combining Systems;B1
FSCD;International Conference on Formal Structures for Computation and Deduction;B2
FSE;Fast Software Encryption;A2
FSKD;International Conference on Fuzzy Systems and Knowledge Discovery;B2
FSTTCS;Annual Conference on Foundations of Software Technology and Theoretical Computer Science;B1
FTC;Future Technologies Conference;B1
FTXS;Workshop on Fault Tolerance for HPC at eXtreme Scale;B3
FUSION;International Conference on Information Fusion;A2
IBERCHIP;Workshop Iberchip;B4
GAMEON;Annual Simulation and AI in Games Conference;B4
GAS;International Workshop on Games and Software Engineering;B3
GCCE;IEEE Global Conference on Consumer Electronics;B1
GECCO;Genetic and Evolutionary Computation Conference;A2
GECON;International Conference on Economics of Grids, Clouds, Systems and Services;B3
GEM;IEEE Games, Entertainment, Media Conference;B1
GeoAI;International Workshop on AI for Geographic Knowledge Discovery;B4
GEOINFO;Brazilian Symposium on GeoInformatics;B1
GeoPrivacy;Workshop on Privacy in Geographic Information Collection and Analysis;B4
GeoPROCESSING-IARIA;IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services;B4
GeoSim;International Workshop on Geospatial Simulation;B4
GI;Graphics Interface Conference;A4
GIIS;Global Information Infrastructure and Networking Symposium;B2
GIOTS;GLOBAL INTERNET OF THINGS SUMMIT;B2
GIR;Workshop on Geographic Information Retrieval;B1
GIS;ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems;A2
GIScience;International Conference on Geographic Information Science;A3
GLOBALDEV;Workshop of the AIS Special Interest Group for ICT in Global Development;B4
GLOBALSIP;Global Conference on Signal and Information Processing;A2
GLOBECOM;IEEE Global Communications Conference;A1
GLSVLSI;Great Lakes Symposium on VLSI;A4
GLVLSI;ACM Great Lakes Symposium on VLSI;A4
GPC;International Conference on Grid And Pervasive Computing;B2
GPCE;ACM International Conference on Generative Programming: Concepts and Experiences;B4
GraphQ;International Workshop on Querying Graph Structured Data (EDBT);B4
GRAPP;International Conference on Computer Graphics Theory and Applications;B2
GreenCom;IEEE International Conference on Green Computing and Communications;B2
GREENS;International Workshop on Green and Sustainable Software;B1
GROUP;International Conference on Supporting Group Work;A4
GVIZ;Workshop on New Directions in Geovisual Analytics;B4
HAIS;International Conference on Hybrid Artificial Intelligence Systems;B2
HAPTICS;IEEE Haptics Symposium;A3
HASE;IEEE International Symposium on High Assurance Systems Engineering;A4
HCI;International Conference on Human-Computer Interaction;B1
HCI3P;Workshop on Human Computer Interaction in Third Places;B4
HCIST;International Conference on Health and Social Care Information Systems and Technologies;B4
HCOMP;Conference on Human Computation and Crowdsourcing;A3
HCSE;International Working Conference on Human-Centred Software Engineering;B4
HEALTHCOM;IEEE International Conference on E-health Networking, Application & Services;A3
HEALTHINF;International Conference on Health Informatics;A3
HICSS;Hawaii International Conference on System Sciences;A1
HIPC;IEEE International Conference on High Performance Computing;A3
HIS;International Conference on Hybrid Intelligent Systems;B2
HM;International Workshop on Hybrid Metaheuristics;B2
HOST;IEEE International Symposium on Hardware Oriented Security and Trust;A2
HOTNETS;ACM Workshop on Hot Topics in Networks;A2
HPCA;IEEE International Symposium on High Performance Computer Architecture;A1
HPCC;International Conference on High Performance Computing and Communications;A3
HPCS;International Conference on High Performance Computing & Simulation;A4
HPDC;International Symposium on High Performance Distributed Computing;A2
HPG;High-Performance Graphics;B1
HPPN;Workshop on High Performance and Programmable Networking;B3
HPSR;IEEE High Performance Switching and Routing;B1
HR;Workshop on Hybrid Reasoning;B4
HRI;ACM/IEEE International Conference on Human Robot Interaction;A1
HT;ACM Conference on Hypertext and Social Media;A3
Humanoids;IEEE RAS International Conference on Humanoid Robot;A2
HVC;International Haifa Verification Conference;B4
Hypertext;ACM Conference on Hypertext and Hypermedia;A3
I2MTC;IEEE International Instrumentation and Measurement Technology Conference;A4
IAAI;International Conference of the Italian Association for Artificial Intelligence;B4
IAS;Industry Applications Society Annual Meeting;A3
IAT;IEEE/WIC/ACM International Conference on Intelligent Agent Technology;A4
IAV;IFAC Symposium on Intelligent Autonomous Vehicles;B4
IBERAMIA;Ibero-American Conference on Artificial Intelligence;B3
IbPRIA;Iberian Conference on Pattern Recognition and Image Analysis;B2
IC2E;IEEE International Conference on Cloud Engineering;A3
IC3K;International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management;B3
ICA3PP;International Conference on Algorithms and Architectures for Parallel Processing;B1
ICAART;International Conference on Agents and Artificial Intelligence;B1
ICAC;International Conference on Autonomic Computing;A3
ICAIS;International Conference on Adaptive and Intelligent Systems;B3
ICAISC;International Conference on Artificial Intelligence and Soft Computing;A3
ICAIWC;International Conference on Artificial Intelligence;B3
ICALP;International Colloquium on Automata, Languages, and Programming;A2
ICALT;IEEE International Conference on Advanced Learning Technologies;A3
ICANN;International Conference on Artificial Neural Networks;B1
ICAPS;International Conference on Automated Planning and Scheduling;A2
ICAR;International Conference on Advanced Robotics;A3
ICARCV;International Conference on Control, Automation, Robotics and Vision;B2
ICARM;International Conference on Advanced Robotics and Mechatronics;B3
ICAROB;International Conference on Artificial Life and Robotics;B4
ICARSC;IEEE International Conference on Autonomous Robot Systems and Competitions;B1
ICARV;International Conference on Control, Automation, Robotics and Vision;B2
ICAS-IARIA;IARIA International Conference on Autonomic and Autonomous Systems;B3
ICASSP;IEEE International Conference on Acoustics, Speech and Signal Processing;A1
ICAT;International Conference on Artificial Reality and Telexistence;B2
ICB;International Conference on Biometrics;A3
ICC;IEEE International Conference on Communications;A1
ICCA;IEEE International Conference on Control and Automation;A4
ICCABS;International Conference on Computational Advances in Bio and Medical Sciences;B2
ICCAD;IEEE/ACM International Conference on ComputerAided Design;A2
ICCAR;International Conference on Control, Automation and Robotics;B2
ICCC;International Conference on Computational Creativity;A4
ICCCC;International Conference on Computers Communications and Control;B3
ICCCN;International Conference on Computer Communications and Networks;B2
ICCD;International Conference on Computer Design;A3
ICCDCS;International Caribbean Conference on Devices, Circuits and Systems;B4
ICCE;IEEE International Conference on Consumer Electronics;B1
ICCE-EDU;International Conference on Computers in Education;B2
ICCEBerlin;IEEE International Conference on Consumer Electronics Berlin;B1
ICCETaiwan;IEEE International Conference on Consumer Electronics Taiwan;B2
ICCHP;International Conference on Computers Helping People with Special Needs;B1
ICCIC;International Conference on Computational Intelligence and Computing Research;A4
ICCL2;International Conference on Computational Logistics;B2
ICCNC;International Conference on Computing, Networking and Communications;A2
ICCP;IEEE International Conference on Intelligent Computer Communication and Processing;B1
ICCPS;International Conference on Cyber-Physical Systems;A2
ICCRTS;International Command and Control Research and Technology Symposium;B4
ICCS;International Conference on Computational Science;B2
ICCSA;International Conference on Computational Science and Its Applications;A3
ICCV;IEEE International Conference on Computer Vision;A1
ICCVE;International Conference on Connected Vehicles & Exp;A4
ICCVW;IEEE International Conference on Computer Vision Workshops;A3
ICCW;IEEE International Conference on Communications Workshops;B3
ICDAR;International Conference on Document Analysis and Recognition;A2
ICDCN;International Conference on Distributed Computing and Networking;A3
ICDCS;International Conference on Distributed Computing Systems;A1
ICDCSW;International Conference on Distributed Computing Systems Workshops;A4
ICDE;IEEE International Conference on Data Engineering;A1
ICDF;IFIP International Conference on Digital Forensics;B3
ICDIM;International Conference on Digital Information Management;B2
ICDIP;International Conference on Digital Image Processing;A4
ICDM;IEEE International Conference on Data Mining;A1
ICDMW;IEEE International Conference on Data Mining Workshop (ICDMW);A1
ICDP;International Conference on Imaging for Crime Detection and Prevention;B4
ICDS-IARIA;IARIA International Conference on Digital Society;B4
ICDSP;IEEE International Conference on Digital Signal Processing;A4
ICDT;International Conference on Database Theory;A3
ICE-CCN;International Conference on Emerging Trends in Computing, Communication and Nanotechnology;B1
ICEBE;IEEE International Conference on e-Business Engineering;B2
ICEC;IFIP International Conference on Entertainment Computing;A3
ICECCS;International Conference on Engineering of Complex Computer;B2
ICECS;IEEE International Conference on Electronics, Circuits and Systems;B1
ICED;International Conference on Engineering Design;B1
ICEGOV;International Conference on Theory and Practice of Eletronic Governance;B1
ICEIS;International Conference on Enterprise Information Systems;A3
ICER;International Computing Education Research;A3
ICERI;International Conference of Education, Research and Innovation;B3
ICFEM;International Conference on Formal Engineering Methods;A4
ICFHR;International Conference on Frontiers in Handwriting Recognition;A4
ICFP;International Conference on Functional Programming;A2
ICGJ;International Conference on Game Jams, Hackathons, and Game Creation Events;B3
ICGSE;IEEE International Conference on Global Software Engineering;B1
ICGT;International Conference on Graph Transformations;B3
ICGTT;International Conference on Graph Transformation;B1
ICHI;IEEE International Conference on Healthcare Informatics;A3
ICHQP;IEEE International Conference on Harmonics and Power Quality;B1
ICIAP;International Conference on Image Analysis and Processing;A3
ICIAR;International Conference on Image Analysis and Recognition;B1
ICIC;International Conference on Intelligent Computing;B2
ICICS;International Conference on Information and Communications Security;B2
ICIDS;International Conference on Interactive Digital Storytelling;A3
ICIEOM;International Conference on Industrial Engineering and Operations Management;B2
ICIG;International Conference on Image and Graphics;B2
ICIIECS;International Conference on Innovations in Information, Embedded and Communication Systems;B2
ICINCO;International Conference on Informatics in Control, Automation and Robotics;A4
ICIOT;International Conference on the Internet of Things;A4
ICIP;IEEE International Conference on Image Processing;A1
ICIQ;International Conference on Information Quality;B2
ICIS;International Conference on Information Systems;A2
ICISC;International Conference on Information Security and Cryptology;B1
ICISO;International Conference on Informatics and Semiotics in Organisations;B3
ICISS;International Conference on Information Systems Security;B2
ICISSP;International Conference on Information Systems Security and Privacy;B2
ICIST;International Conference on Information and Software Technologies;B2
ICIT;IEEE International Conference on Industrial Technology;A3
ICITS;International Conference on Information Theoretic Security;B2
ICITST;International Conference for Internet Technology and Secured Transactions;B1
ICIV;International Conference on Information Visualisation;B1
ICIVC;International Conference on Image, Vision and Computing;B4
ICIW-IARIA;IARIA International Conference on Internet and Web Applications and Services;B4
ICL;International Conference on Interactive Collaborative Learning;B3
ICLA;Indian Conference on Logic and its Applications;B2
ICLP;International Conference on Logic Programming;A3
ICLR;International Conference on Learning Representations;A1
ICM;International Conference on Microelectronics;B2
ICMA;IEEE International Conference on Mechatronics and Automation;A4
ICMC;International Computer Music Conference;A3
ICMCR;International Conference on Mechatronics, Control and Robotics;B4
ICMCS;IEEE International Conference on Multimedia Computing and Systems;B1
ICME;IEEE International Conference on Multimedia and Expo;A2
ICMEW;IEEE International Conference on Multimedia and Expo Workshops;A3
ICMI;ACM International Conference on Multimodal Interfaces;A2
ICML;International Conference on Machine Learning;A1
ICMLA;IEEE International Conference on Machine Learning and Applications;A3
ICMPC;International Conference on Music Perception and Cognition;B3
ICMR;ACM International Conference on Multimedia Retrieval;A2
ICN;ACM International Conference on Information-Centric Networking;A2
ICN-IARIA;IARIA International Conference on Networks;B4
ICNC;International Conference on Natural Computation;A4
ICNC-FSKD;International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery;B2
ICNP;International Conference on Network Protocols;A2
ICNS-IARIA;IARIA International Conference on Networking and Services;B4
ICNSC;IEEE International Conference on Networking, Sensing and Control;A4
ICOIN;International Conference on Information Networking;A3
ICOMPWC;International Conference on Internet Computing and Internet of Things;B2
ICONIP;International Conference on Neural Information Processing;A4
ICONS-IARIA;IARIA International Conference on Systems;B3
ICORES;International Conference on Operations Research and Enterprise Systems;B4
ICORR;IEEE International Conference on Rehabilitation Robotics;A3
ICPADS;International Conference on Parallel and Distributed Systems;B1
ICPE;International Conference on Performance Engineering;A3
ICPME;International Conference on Philosophy, Music and Emotion;B4
ICPP;International Conference on Parallel Processing;A3
ICPR;International Conference on Pattern Recognition;A2
ICRA;IEEE International Conference on Robotics and Automation;A1
ICRAE;International Conference on Robotics and Automation Engineering;B4
ICS;International Conference on Supercomputing;A2
ICSA;Working IEEE/IFIP Conference on Software Architecture;A4
ICSC;International Conference on Semantic Computing;A3
ICSE;International Conference on Software Engineering;A1
ICSEA-IARIA;IARIA International Conference on Software Engineering Advances;B4
ICSEW;International Conference on Software Engineering Workshops;B3
ICSI;International Conference on Swarm Intelligence;A4
ICSLE;International Conference on Smart Learning Environments;B3
ICSME;IEEE International Conference on Software Maintenance and Evolution;A2
ICSNC-IARIA;IARIA International Conference on Systems and Networks Communications;B4
ICSOB;International Conference on Software Business;B1
ICSOC;International Conference on Service Oriented Computing;A3
ICSOFT;International Conference on Software Technologies;B2
ICSPCEC;International Conference on Signal Processing, Communication, Power and Embedded System;B3
ICSR;International Conference on Software Reuse;B1
ICST;International Conference on Sensing Technology;B2
ICSTV;IEEE International Conference on Software Testing, Verification and Validation;A2
ICT;International Conference on Telecommunications;A4
ICTAC;International Colloquium on Theoretical Aspects of Computing;B1
ICTAI;IEEE International Conference on Tools with Artificial Intelligence;A3
ICTCS;Italian Conference on Theoretical Computer Science;B4
ICTIR;Conference on the Theory of Information Retrieval;B1
ICTON;International Conference on Transparent Optical Networks;A4
ICTSS;IFIP International Conference on Testing Software and Systems;B2
ICUAS;International Conference on Unmanned Aircraft Systems;A2
ICUMT;International Conference on Ultra Modern Telecommunications;B1
ICVIIP;International Conference on Visualization: Imaging and Image Processing;B4
ICVR;International Conference on Virtual Rehabilitation;B1
ICVRV;International Conference on Virtual Reality and Visualization;B4
ICVS;International Conference on Computer Vision Systems;B1
ICWE;International Conference on Web Engineering;A3
ICWI;International Conference on WWW/Internet;B4
ICWMC-IARIA;IARIA International Conference on Wireless and Mobile Communications;B4
ICWNWC;International Conference on Wireless Networks;B1
ICWS;IEEE International Conference on Web Services;A3
ICWSM;International AAAI Conference on Web and Social Media;A1
IDC;International Symposium on Intelligent Distributed Computing;B2
IDCS;International Conference on Internet and Distributed Computing Systems;B2
IDEAL;International Conference on Intelligent Data Engineering and Automated Learning;B2
IDEAS;International Database Engineering and Applications Symposium;A4
IEAAIE;International Conference on Industrial Engineering & Other Applications of Appled Intelligence Systems;B2
IECON;Annual Conference of the IEEE Industrial Electronics Society;A2
IEEE eScience;IEEE International eScience Conference;B1
IEEE IST;IEEE International Conference on Imaging Systems and Techniques;B1
IEEE NANO;IEEE Conference on Nanotechnology;B2
IEEE S&P;IEEE Symposium on Security and Privacy;A1
IEEECLOUD;IEEE International Conference on Cloud Computing;A2
IEEEIA;IEEE Symposium on Intelligent Agents;B3
IEEEICCC;IEEE International Conference on Cognitive Computing;A4
IEEEISWC;IEEE International Symposium on Wearable Computers;A3
IEEENANO;International Conference on Nanotechnology;B2
IEEESCC;IEEE International Conference on Services Computing;A4
IEMSS;International Congress on Environmental Modelling & Software;B4
IESS;IFIP International Embedded Systems Symposium;B3
IFAC;World Congress of the International Federation of Automatic Control;A2
IFIPISC;IFIP International Information Security Conference;A4
IFM;International Conference on Integrated Formal Methods;A3
IFSA;World Congress of International Fuzzy Systems Association;B3
IFUZZY;International Conference on Fuzzy Theory and its Applications;B3
IGARSS;IEEE International Geoscience and Remote Sensing Symposium;A3
IGIC;IEEE International Games Innovation Conference;B3
IGSC;International Green and Sustainable Computing Conference;B2
IH&MMSec;ACM Workshop on Information Hiding and Multimedia Security;A4
IHC;Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais;A4
IHM;Conférence Francophone sur l’Interaction Homme-Machine;B3
IIH-MSP;International Conference on Intelligent Information Hiding and Multimedia Signal Processing;B2
IIR;Italian Information Retrieval Workshop;B4
IISWC;IEEE International Symposium on Workload Characterization;A3
IIWAS;International Conference on Information Integration and Web-based Applications & Services;B1
IJCAI;International Joint Conference on Artificial Intelligence;A1
IJCAR;International Joint Conference on Automated Reasoning;A3
IJCB;IEEE International Joint Conference on Biometrics;A2
IJCCI;International Joint Conference on Computational Intelligence;B3
IJCNLP;International Joint Conference on Natural Language Processing;A3
IJCNN;IEEE International Joint Conference on Neural Networks;A2
ILA;Interaction Latin America;B4
ILP;International Conference on Inductive Logic Programming;B3
IM;IFIP/IEEE International Symposium on Integrated Network Management;A2
IMC;ACM Internet Measurement Conference;A1
IMCL;International Conference on Interactive Mobile Communication, Technologies and Learning;B2
IMCOM;International Conference on Ubiquitous Information Management and Communication;A4
IMIS;International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing;A3
IMOC;SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference;B4
IMS3TW;Annual International Mixed-Signals, Sensors and Systems Test Workshop;B4
INCOS;International Conference on Intelligent Networking and Collaborative Systems;A3
INDIN;IEEE International Conference on Industrial Informatics;A3
INDOCRYPT;International Conference on Cryptology in India;A4
INDUSCON;International Conference on Industry Applications;B3
INFOCOM;IEEE International Conference on Computer Communications;A1
InfoVis;IEEE Information Visualization;B3
INLG;International Natural Language Generation conference;B2
INOC;International Network Optimization Conference;B3
INTECH;International Conference on Innovative Computing Technology;B1
INTED;International Technology, Education and Development Conference;B2
INTELLI-IARIA;IARIA International Conference on Intelligent Systems and Applications;B4
INTELLISYS;SAI Intelligent Systems Conference;B1
INTERACCION;International Conference on Human Computer Interaction;B2
INTERACT;IFIP TC 13 International Conference on Human-Computer Interaction;A3
INTERSPEECH;Conference of the International Speech Communication Association;A1
IOLTS;IEEE International On-Line Testing Symposium;B2
IoTAAL;Workshop on Internet of Things for Ambient Assisted Living;B4
IoTBDS;International Conference on Internet of Things and Big Data and Security;B2
IOTCC;International Conference on Internet of things, Data and Cloud Computing;B2
IPAW;International Provenance and Annotation Workshop;B2
IPCCC;International Performance, Computing, and Communications Conference;B1
IPCO;Conference on Integer Programming and Combinatorial Optimization;A3
IPCVWC;International Conference on Image Processing, Computer Vision, and Pattern Recognition;B3
IPDLN;International Population Data Linkage Network;B4
IPDPS;IEEE International Parallel & Distributed Processing Symposium;A1
IPDPSW;IEEE International Parallel & Distributed Processing Symposium Workshops;A4
IPEC;International Symposium on Parameterized and Exact Computation;B1
IPMU;International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems;B2
IPPR;INTERNATIONAL CONFERENCE ON IMAGE PROCESSING AND PATTERN RECOGNITION;B3
IPSN;International Conference on Information Processing in Sensor Networks;A2
IPTA;International Conference on Image Processing Theory Tools and Applications;B1
IRI;IEEE International Conference on Information Reuse and Integration;A4
IRIS;IEEE International Symposium on Robotics and Intelligent Sensors;B3
IRMMW;International Conference on Infrared, Millimeter, and Terahertz Waves;A4
IROS;IEEE/RSJ International Conference on Intelligent Robots and Systems;A1
ISAAC;International Symposium Algorithms and Computation;A3
ISADS;International Symposium on Autonomous Decentralized Systems;B1
ISAM;IEEE International Symposium on Assembly and Manufacturing;B3
ISAmI;International Symposium on Ambient Intelligence;B3
ISAP;International Conference on Intelligent System Applications to Power Systems;B3
ISBI;IEEE International Symposium on Biomedical Imaging;A2
ISBRA;International Symposium on Bioinformatics Research and Applications;A4
ISC;International Supercomputing Conference;A3
ISC;International Conference on Information Security;A4
ISC2;IEEE International Smart Cities Conference;B1
ISCA;International Symposium on Computer Architecture;A1
ISCAS;IEEE International Symposium on Circuits and Systems;A2
ISCC;International Symposium on Computers and Communications;A3
ISCE;IEEE International Symposium on Consumer Electronics;B1
ISCIS;International Symposium on Computer and Information Sciences;A3
ISCOPT;International Symposium on Combinatorial Optimization;B2
ISCRAM;International Conference on Information Systems for Crisis Response and Management;A3
ISDA;International Conference on Intelligent Systems Design and Applications;B2
ISDEVEL;International Conference on Information Systems Development;B3
ISEA;International Symposium on Electronic Arts;B4
ISECON;Information Systems Education Conference;B4
ISER;International Symposium on Experimental Robotics;A3
ISEUD;UD - International Symposium on End-User Development;B4
ISGT;IEEE PES Innovative Smart Grid Technologies;A3
ISGT-Europe;IEEE PES Innovative Smart Grid Technologies Conference Europe;A4
ISGTEUROPE;Europe - IEEE International Conference on Innovative Smart Grid Technologies;B2
ISI;IEEE International Conference on Intelligence and Security Informatics;B1
ISIC;International Symposium on Integrated Circuits;B2
ISIE;IEEE International Symposium on Industrial Electronics;A4
ISIS;International Conference on Information Security;A4
ISIT;International Symposium on Information Theory;A1
ISLPED;International Symposium on Low Power Electronics and Design;A3
ISM;IEEE International Symposium on Multimedia;A3
ISMAR;International Symposium on Mixed and Augmented Reality;A3
ISMB/ECCB;Intelligent Systems for Molecular Biology / European Conference on Computational Biology;B3
ISMCR;International Symposium on Measurement and Control in Robotics;B4
ISMIR;International Society for Music Information Retrieval Conference;A2
ISMIS;International Symposium on Methodologies for Intelligent Systems;B3
ISMM;International Symposium on Mathematical Morphology;A4
ISMR;International Symposium on Medical Robotics;B4
ISMVL;IEEE International Symposium on Multiple-Valued Logic;B1
ISNN;International Symposium on Neural Networks;B2
ISOLA;International Symposium on Leveraging Applications of Formal Methods, Verification and Validation;A4
ISORC;IEEE International Symposium on RealTime Distributed Computing;A3
ISPA;IEEE International Symposium on Parallel and Distributed Processing with Applications;B2
ISPASS;IEEE International Symposium on Performance Analysis of Systems and Software;A3
ISPD;ACM International Symposium on Physical Design;A3
ISPDC;International Symposium on Parallel and Distributed Computing;B2
ISQED;International Symposium on Quality Electronic Design;A4
ISR;IEEE International Conference on Intelligence and Safety for Robotics;B4
ISS;ACM International Conference on Interactive Surfaces and Spaces;B3
ISSA;Information Security for South Africa;B2
ISSCC;IEEE International Solid-State Circuits Conference;A1
ISSI;International Society of Scientometrics and Informetrics Conference;B1
ISSPIT;IEEE International Symposium on Signal Processing and Information Technology;B2
ISSRE;IEEE International Symposium on Software Reliability Engineering;A3
ISSREW;IEEE International Symposium on Software Reliability Engineering Workshops;B1
ISSTA;International Symposium on Software Testing and Analysis;A2
ISTAR;International i*Workshop;B4
ISVC;International Symposium on Visual Computing;A3
ISVLSI;IEEE Computer Society Annual Symposium on VLSI;A3
ISW;Information Security Conference;A4
ISWC;International Semantic Web Conference;A1
ISWCS;International Symposium on Wireless Communication Systems;A3
ISWPC;International Symposium on Wireless and Pervasive Computing;B3
ITA;International Conference on Internet Technologies and Applications;B4
ITC;International Test Conference;A4
ITCS;Conference on Innovations in Theoretical Computer Science;A2
ITHET;International Conference on Information Technology Based Higher Education and Training;B2
ITICSE;Conference on Innovation and Technology in Computer Science Education;A3
ITNG;International Conference on Information Technology : New Generations;A4
ITP;International Conference on Interactive Theorem Proving;A3
ITS;International Conference on Intelligent Tutoring Systems;A3
ITSC;IEEE International Conference on Intelligent Transportation Systems;A2
ITSS;Interactive Tabletops and Surfaces;A4
IUI;International Conference on Intelligent User Interfaces;A2
IV;International Conference on Information Visualization;A4
IVA;International Conference on Intelligent Virtual Agents;A3
IVAPP;International Conference on Information Visualization Theory and Applications;B3
IVCNZ;International Conference Image and Vision Computing New Zealand;B2
IVS;Intelligent Vehicles Symposium;A1
IWANN;International Work-Conference on Artificial and Natural Neural Networks;B1
IWBBIO;International Work-Conference on Bioinformatics and Biomedical Engineering;A4
IWBF;International Workshop on Biometrics and Forensics;B1
IWCMC;International Wireless Communications and Mobile Computing Conference;A2
IWCS;International Workshop on Computational Semantics;A3
IWCTS;International Workshop on Computational Transportation Science;B2
IWOCA;International Workshop on Combinatorial Algorithms;B2
IWPSE;International Workshop on Principles of Software Evolution;B3
IWQoS;IEEE/ACM International Symposium on Quality of Service;A4
IWS;Iberchip Workshop;B4
IWSECO;International Workshop on Software Ecosystems;B2
IWSG;International Workshop on Science Gateways;B3
IWSSIP;International Conference on Systems, Signals and Image Processing;B1
IWT;International Workshop on Telecommunications;B3
JCDL;ACM/IEEE Joint Conference on Digital Libraries;A3
JCSC;JOINT INTERNATIONAL CONFERENCE ON SERIOUS GAMES;B3
JCSSE;International Joint Conference on Computer Science and Software Engineering;B1
JURIX;International Conference on Legal Knowledge and Information Systems;B2
KDD;ACM SIGKDD Conference on Knowledge Discovery and Data Mining;A1
KDIR;International Conference on Knowledge Discovery and Information Retrieval;B2
KDMILE;Symposium on Knowledge Discovery, Mining and Learning;B3
KES;International Conference on Knowledge-Based and Intelligent Information & Engineering Systems;B4
KESAMSTA;MSTA - International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications;B2
KESW;International Conference on Knowledge Engineering and Semantic Web;B1
KMO;International Conference on Knowledge Management in Organizations;B3
KnowLOD;Workshop on Knowledge Discovery and Data Mining Meets Linked Open Data;B4
KR;International Conference on Principles of Knowledge Representation and Reasoning;A3
L@S;ACM Conference on Learning @ Scale;B2
LA-CCI;CI - Latin American Conference on Computational Intelligence;B4
LA-WEB;Latin American Web Congress;B4
LAC;Linux Audio Conference;B2
LACLO;Latin American Conference on Learning Objects and Technologies;B2
LADC;Latin-American Symposium on Dependable Computing;B2
LAGOS;Latin-American Algorithms, Graphs and Optimization Symposium;B3
LAK;International Learning Analytics and Knowledge Conference;A2
LANC;Latin American Networking Conference;B4
LANMAN;IEEE International Symposium on Local and Metropolitan Area Networks;B2
LANOMS;Latin-American Network Operations and Management Symposium;B4
LARS;IEEE Latin American Robotics Symposium;B1
LARS/SBR;Simpósio Brasileiro de Robótica;B1
LASCAS;IEEE Latin American Symposium on Circuits and Systems;B1
LATIN;Latin American Symposium on Theoretical Informatics;A4
LATINCLOUD;IEEE Latin America Conference on Cloud Computing and Communications;B4
LATINCOM;IEEE Latin-American Conference on Communications;B2
LATINCRYPT;International Conference on Cryptology and Information Security in Latin America;B1
LATS;IEEE Latin American Test Symposium;B2
LATW;Latin American Test Workshop;B2
LAW;Linguistic Annotation Workshop;B1
LAWCG;Latin American Workshop on Cliques in Graphs;B4
LAWCN;Latin-American Workshop on Computational Neuroscience;B4
LCDNET;Workshop on Lowest Cost Denominator Networking for Universal Access;B4
LCN;IEEE Conference on Local Computer Networks;A4
LCTES;ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems;B4
LCTRTS;ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Real-Time Systems;B4
LDAV;IEEE Symposium on Large Data Analysis and Visualization;B1
LFCS;Symposium on Logical Foundations of Computer Science;B2
LICS;IEEE Symposium on Logic in Computer Science;A3
LIDTA;Workshop on Learning with Imbalanced Domains: Theory and Applications;B4
