"producao_issn";"nome_periodico";"estrato"
"13823256";EMPIRICAL SOFTWARE ENGINEERING;A2
"15737616";EMPIRICAL SOFTWARE ENGINEERING (DORDRECHT. ONLINE);A2
"23172606";ENCICLOPEDIA BIOSFERA;SQ
"18090583";ENCICLOPÉDIA BIOSFERA;SQ
"15182924";ENCONTROS BIBLI;B4
"19961073";ENERGIES (BASEL);A2
"03605442";ENERGY (OXFORD);A1
"03014215";ENERGY POLICY;A1
"18766102";ENERGY PROCEDIA;A2
"23524847";ENERGY REPORTS;A4
"19831277";ENGENHARIA DE SOFTWARE MAGAZINE;SQ
"19831277";ENGENHARIA DE SOFTWARE MAGAZINE;SQ
"16761790";ENGENHARIA TÉRMICA;SQ
"09521976";ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE;A1
"09699988";ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT (PRINT);A1
"13506307";ENGINEERING FAILURE ANALYSIS;A2
"10429247";ENGINEERING MANAGEMENT JOURNAL;A3
"0305215X";ENGINEERING OPTIMIZATION;A1
"21797625";ENGINEERING RESEARCH;SQ
"01770667";ENGINEERING WITH COMPUTERS;A1
"01044036";ENSAIO - AVALIAÇÃO E POLÍTICAS PÚBLICAS EM EDUCAÇÃO;B1
"17517575";ENTERPRISE INFORMATION SYSTEMS (PRINT);A2
"18759521";ENTERTAINMENT COMPUTING;A3
"10994300";ENTROPY (BASEL. ONLINE);A1
"13528505";ENVIRONMENTAL AND ECOLOGICAL STATISTICS;A4
"14202026";ENVIRONMENTAL MODELING AND ASSESSMENT;A3
"13648152";ENVIRONMENTAL MODELLING & SOFTWARE;A1
"01676369";ENVIRONMENTAL MONITORING AND ASSESSMENT (PRINT);A3
"17489326";ENVIRONMENTAL RESEARCH LETTERS;A1
"00139580";EPILEPSIA (COPENHAGEN);A1
"21931127";EPJ DATA SCIENCE;A1
"23178876";ERGODESIGN & HCI;SQ
"07981015";ESPACIOS (CARACAS);B3
"12256463";ETRI JOURNAL;A3
"19516355";EUR. PHYS. J. SPECIAL TOPICS;A3
"16871499";EURASIP J WIREL COMM;A3
"16876180";EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING (ONLINE);A4
"16874714";EURASIP JOURNAL ON AUDIO, SPEECH AND MUSIC PROCESSING (PRINT);A3
"16875176";EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING (PRINT);A3
"1687417X";EURASIP JOURNAL ON INFORMATION SECURITY;SQ
"16874161";EURASIP JOURNAL ON MULTIMEDIA AND INFORMATION SECURITY (PRINT);A3
"16871499";EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING;A3
"21924406";EURO JOURNAL ON COMPUTATIONAL OPTIMIZATION (PRINT);A2
"21924376";EURO JOURNAL ON TRANSPORTATION AND LOGISTICS;A2
"23498870";EUROPEAN JOURNAL OF BIOMEDICAL AND PHARMACEUTICAL SCIENCES;SQ
"09543007";EUROPEAN JOURNAL OF CLINICAL NUTRITION;A2
"01956698";EUROPEAN JOURNAL OF COMBINATORICS (PRINT);A3
"17515254";EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING;A4
"2042115X";EUROPEAN JOURNAL OF LAW AND TECHNOLOGY;SQ
"02235234";EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY;A1
"03772217";EUROPEAN JOURNAL OF OPERATIONAL RESEARCH;A1
"09280987";EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES;A2
"22797254";EUROPEAN JOURNAL OF REMOTE SENSING;A1
"1450216X";EUROPEAN JOURNAL OF SCIENTIFIC RESEARCH;SQ
"14346036";EUROPEAN PHYSICAL JOURNAL. B, CONDENSED MATTER AND COMPLEX SYSTEMS (INTERNET);B1
"00143057";EUROPEAN POLYMER JOURNAL;A1
"09249338";EUROPEAN PSYCHIATRY (PARIS);A2
"09387994";EUROPEAN RADIOLOGY;A1
"2212764X";EUROPEAN RESEARCH IN TELEMEDICINE / LA RECHERCHE EUROPÉENNE EN TÉLÉMÉDECINE;B2
"1124318X";EUROPEAN TRANSACTIONS ON TELECOMMUNICATIONS;A3
"02955075";EUROPHYSICS LETTERS (PRINT);A3
"18082307";EVIDÊNCIA: OLHARES E PESQUISA EM SABERES EDUCACIONAIS;SQ
"10636560";EVOLUTIONARY COMPUTATION;A1
"15309304";EVOLUTIONARY COMPUTATION (ONLINE);A1
"18645909";EVOLUTIONARY INTELLIGENCE (PRINT);A2
"19839308";EXACTA (ONLINE);SQ
"16785428";EXACTA (SÃO PAULO. IMPRESSO);SQ
"17460441";EXPERT OPINION ON DRUG DISCOVERY (PRINT);A2
"17425255";EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY;A2
"02664720";EXPERT SYSTEMS;A3
"09574174";EXPERT SYSTEMS WITH APPLICATIONS;A1
"19824432";EXTENSÃO EM FOCO (CURITIBA);SQ
"20461402";F1000RESEARCH;A2
"09720871";FAR EAST JOURNAL OF MATHEMATICAL SCIENCES: FJMS;B2
"13960466";FIRST MONDAY (ONLINE);A4
"03632415";FISHERIES (BETHESDA, MD.);A4
"19805918";FISIOTERAPIA EM MOVIMENTO;SQ
"01035150";FISIOTERAPIA EM MOVIMENTO (PUCPR. IMPRESSO);SQ
"18093469";FISIOTERAPIA SER;SQ
"19366582";FLEXIBLE SERVICES AND MANUFACTURING JOURNAL;A2
"16770323";FLF.EDU;SQ
"09555986";FLOW MEASUREMENT AND INSTRUMENTATION;A3
"2157944X";FOOD AND NUTRITION SCIENCES;SQ
"03088146";FOOD CHEMISTRY;A1
"09567135";FOOD CONTROL;A1
"09639969";FOOD RESEARCH INTERNATIONAL;A1
"03790738";FORENSIC SCIENCE INTERNATIONAL;A1
"07185006";FORMACIÓN UNIVERSITARIA;A4
"09345043";FORMAL ASPECTS OF COMPUTING;A4
"1433299X";FORMAL ASPECTS OF COMPUTING (INTERNET);A4
"23186356";FORSCIENCE;SQ
"23687533";FOUNDATIONS - JOURNAL OF THE PROFESSIONAL PETROLEUM DATA MANAGEMENT ASSOCIATION (PRINT);SQ
"15513955";FOUNDATIONS AND TRENDS IN HUMAN-COMPUTER INTERACTION (PRINT);A1
"15540669";FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL;A1
"16153375";FOUNDATIONS OF COMPUTATIONAL MATHEMATICS (PRINT);A1
"22964185";FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY;B1
"16625102";FRONTIERS IN CELLULAR NEUROSCIENCE;A3
"16625188";FRONTIERS IN COMPUTATIONAL NEUROSCIENCE;A3
"16648021";FRONTIERS IN GENETICS;B1
"1664302X";FRONTIERS IN MICROBIOLOGY (ONLINE);A2
"16625196";FRONTIERS IN NEUROINFORMATICS;A1
"1662453X";FRONTIERS IN NEUROSCIENCE;A4
"1664042X";FRONTIERS IN PHYSIOLOGY;A3
"16640640";FRONTIERS IN PSYCHIATRY;A3
"16641078";FRONTIERS IN PSYCHOLOGY;A3
"22962565";FRONTIERS IN PUBLIC HEALTH;A4
"20959184";FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING;A3
"1438793X";FUNCTIONAL & INTEGRATIVE GENOMICS (PRINT);A3
"01692968";FUNDAMENTA INFORMATICAE;A1
"0167739X";FUTURE GENERATION COMPUTER SYSTEMS;A1
"19995903";FUTURE INTERNET;A3
"17568919";FUTURE MEDICINAL CHEMISTRY;A3
"17568919";FUTURE MEDICINAL CHEMISTRY;A3
"16168658";FUZZY INFORMATION AND ENGINEERING;A1
"01650114";FUZZY SETS AND SYSTEMS;A1
"21617856";GAMES FOR HEALTH: RESEARCH, DEVELOPMENT, AND CLINICAL APPLICATIONS;A1
"03781119";GENE (AMSTERDAM);A3
"19476027";GENES & CANCER;A2
"13892576";GENETIC PROGRAMMING AND EVOLVABLE MACHINES;A3
"13892576";GENETIC PROGRAMMING AND EVOLVABLE MACHINES;A3
"16765680";GENETICS AND MOLECULAR RESEARCH;B3
"16765680";GENETICS AND MOLECULAR RESEARCH;B3
"21698287";GENOME ANNOUNCEMENTS;B3
"15737624";GEOINFORMATICA (DORDRECHT. ONLINE);A2
"13846175";GEOINFORMATICA (DORDRECHT);A2
"00948276";GEOPHYSICAL RESEARCH LETTERS;A1
"19919603";GEOSCIENTIFIC MODEL DEVELOPMENT;A1
"1991962X";GEOSCIENTIFIC MODEL DEVELOPMENT DISCUSSIONS;SQ
"22360972";GEP  REVISTA DE GESTÃO E PROJETOS;SQ
"19842430";GEPROS. GESTÃO DA PRODUÇÃO, OPERAÇÕES E SISTEMAS (ONLINE);SQ
"18069649";GESTÃO & PRODUÇÃO;SQ
"23175087";GESTÃO E CONEXÕES;SQ
"16791827";GESTÃO.ORG;SQ
"2047217X";GIGASCIENCE (ONLINE);A1
"15481603";GISCIENCE AND REMOTE SENSING;A1
"23155159";GLOBAL ADVANCED RESEARCH JOURNAL OF MEDICINE AND MEDICAL SCIENCES (GARJMMS);SQ
"09755896";GLOBAL JOURNAL OF SCIENCE FRONTIER RESEARCH;SQ
"19985509";GLOBAL TELEMEDICINE AND EHEALTH UPDATES: KNOWLEDGE RESOURCES;SQ
"15240703";GRAPHICAL MODELS (PRINT);A3
"09110119";GRAPHS AND COMBINATORICS;B1
"13518216";HAEMOPHILIA (OXFORD. PRINT);A3
"21907188";HEALTH AND TECHNOLOGY;B1
"18071600";HOLOS (NATAL. ONLINE);SQ
"18083064";HORIZONTE CIENTÍFICO (UBERLÂNDIA);SQ
"00185345";HORTSCIENCE;A3
"23308001";HUMAN COMPUTATION;SQ
"23167963";HUMAN FACTORS IN DESIGN;SQ
"10597794";HUMAN MUTATION;A2
"02626667";HYDROLOGICAL SCIENCES JOURNAL;A2
"19801726";HYGEIA : REVISTA BRASILEIRA DE GEOGRAFIA MÉDICA E DA SAÚDE (UBERLÂNDIA);SQ
"19590318";I R B M NEWS;B1
"16463692";IADIS INTERNATIONAL JOURNAL ON COMPUTER SCIENCE AND INFORMATION SYSTEMS;SQ
"16457641";IADIS INTERNATIONAL JOURNAL ON WWW/INTERNET;SQ
"16457641";IADIS INTERNATIONAL JOURNAL ON WWWINTERNET;SQ
"20277040";IBEROAMERICAN JOURNAL OF PROJECT MANAGEMENT (IJOPM);SQ
"21693536";IEEE ACCESS;A2
"10586180";IEEE ANNALS OF THE HISTORY OF COMPUTING;B1
"1531636X";IEEE CIRCUITS AND SYSTEMS MAGAZINE (NEW YORK, N.Y. 2001: PRINT);A2
"23256095";IEEE CLOUD COMPUTING;A1
"10897798";IEEE COMMUNICATIONS LETTERS (PRINT);A1
"01636804";IEEE COMMUNICATIONS MAGAZINE (PRINT);A1
"1553877X";IEEE COMMUNICATIONS SURVEYS AND TUTORIALS;A1
"02721716";IEEE COMPUTER GRAPHICS AND APPLICATIONS;A3
"10863702";IEEE COMPUTER SOCIETY;SQ
"21622248";IEEE CONSUMER ELECTRONICS MAGAZINE;A2
"21682356";IEEE DESIGN AND TEST;A3
"19430663";IEEE EMBEDDED SYSTEMS LETTERS;A2
"03608581";IEEE ENGINEERING MANAGEMENT REVIEW;A4
"19324537";IEEE ETRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT;A2
"1545598X";IEEE GEOSCIENCE AND REMOTE SENSING LETTERS (PRINT);A1
"15411672";IEEE INTELLIGENT SYSTEMS;A1
"10897801";IEEE INTERNET COMPUTING;A1
"23274662";IEEE INTERNET OF THINGS JOURNAL;A1
"21682194";IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS;A1
"19391404";IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING;A2
"1077260X";IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS;A1
"19324553";IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING;A1
"21563357";IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS;A1
"07338716";IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS (PRINT);A1
"02721732";IEEE MICRO;A2
"15587908";IEEE MULTIDISCIPLINARY ENGINEERING EDUCATION MAGAZINE;SQ
"1070986X";IEEE MULTIMEDIA;A1
"08908044";IEEE NETWORK;A1
"19430655";IEEE PHOTONICS JOURNAL;A2
"10411135";IEEE PHOTONICS TECHNOLOGY LETTERS;A2
"22555706";IEEE REVISTA IBEROAMERICANA DE TECNOLOGIAS DEL APRENDIZAJE - VERSIÓN ABIERTA ESPAÑOL-PORTUGUÉS;SQ
"10709932";IEEE ROBOTICS & AUTOMATION MAGAZINE;A2
"23773766";IEEE ROBOTICS AND AUTOMATION LETTERS;A1
"15407993";IEEE SECURITY & PRIVACY;A1
"1530437X";IEEE SENSORS JOURNAL;A1
"10709908";IEEE SIGNAL PROCESSING LETTERS;A1
"07407459";IEEE SOFTWARE;A2
"19328184";IEEE SYSTEMS JOURNAL;A2
"19391374";IEEE TRANSACTION ON SERVICES COMPUTING;A1
"00189286";IEEE TRANSACTIONS ON AUTOMATIC CONTROL (PRINT);A1
"15455955";IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING;A1
"19324545";IEEE TRANSACTIONS ON BIOMEDICAL CIRCUITS AND SYSTEMS;A1
"00189294";IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING (PRINT);A1
"10518215";IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY (PRINT);A1
"15498328";IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. I, REGULAR PAPERS (PRINT);A2
"15497747";IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. II, EXPRESS BRIEFS;A2
"21687161";IEEE TRANSACTIONS ON CLOUD COMPUTING;A1
"00906778";IEEE TRANSACTIONS ON COMMUNICATIONS (PRINT);A1
"2329924X";IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS;A1
"02780070";IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS;A3
"00189340";IEEE TRANSACTIONS ON COMPUTERS (PRINT);A1
"00983063";IEEE TRANSACTIONS ON CONSUMER ELECTRONICS;A1
"10636536";IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY (PRINT);A1
"21682267";IEEE TRANSACTIONS ON CYBERNETICS;A1
"15455971";IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING;A1
"00189359";IEEE TRANSACTIONS ON EDUCATION;A1
"21686750";IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING;A1
"08858969";IEEE TRANSACTIONS ON ENERGY CONVERSION;A1
"00189391";IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT;A2
"1089778X";IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION;A1
"20452322";SCIENTIFIC REPORTS;A1
"10636706";IEEE TRANSACTIONS ON FUZZY SYSTEMS;A1
"01962892";IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING;A1
"10577149";IEEE TRANSACTIONS ON IMAGE PROCESSING;A1
"02780046";IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS (1982. PRINT);A1
"15513203";IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS;A1
"00939994";IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS;A1
"15566013";IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY;A1
"10897771";IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE;SQ
"00189456";IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT;A1
"15249050";IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS (PRINT);A1
"10414347";IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING (PRINT);A1
"19391382";IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES;A1
"00189464";IEEE TRANSACTIONS ON MAGNETICS;A3
"02780062";IEEE TRANSACTIONS ON MEDICAL IMAGING (PRINT);A1
"15361233";IEEE TRANSACTIONS ON MOBILE COMPUTING;A1
"15209210";IEEE TRANSACTIONS ON MULTIMEDIA;A1
"1536125X";IEEE TRANSACTIONS ON NANOTECHNOLOGY;A3
"23274697";IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING;A3
"10459227";IEEE TRANSACTIONS ON NEURAL NETWORKS;SQ
"2162237X";IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS;A1
"00189499";IEEE TRANSACTIONS ON NUCLEAR SCIENCE;A2
"10459219";IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS (PRINT);A1
"01628828";IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE;A1
"08858977";IEEE TRANSACTIONS ON POWER DELIVERY;A1
"08858950";IEEE TRANSACTIONS ON POWER SYSTEMS;A1
"00189529";IEEE TRANSACTIONS ON RELIABILITY;A1
"15523098";IEEE TRANSACTIONS ON ROBOTICS;A1
"19493053";IEEE TRANSACTIONS ON SMART GRID;A1
"00985589";IEEE TRANSACTIONS ON SOFTWARE ENGINEERING;A1
"10834427";IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS. PART A. SYSTEMS AND HUMANS;A1
"10834419";IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS. PART B. CYBERNETICS;SQ
"10946977";IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS. PART C, APPLICATIONS AND REVIEWS;SQ
"21682216";IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS;A1
"00189545";IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY;A1
"10638210";IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS (PRINT);A2
"10772626";IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;A1
"15361276";IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS;A1
"15566072";IEEE VEHICULAR TECHNOLOGY MAGAZINE;A1
"15361284";IEEE WIRELESS COMMUNICATIONS;A1
"21622337";IEEE WIRELESS COMMUNICATIONS LETTERS;A1
"19328540";IEEE-RITA;A4
"23299290";IEEE/ACM TRANSACTIONS ON AUDIO, SPEECH AND LANGUAGE PROCESSING;A1
"15455963";IEEE/ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS (PRINT);A1
"10636692";IEEE/ACM TRANSACTIONS ON NETWORKING (PRINT);A1
"17451345";IEICE TRANSACTIONS ON COMMUNICATIONS (ONLINE);B2
"09168508";IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS, COMMUNICATIONS AND COMPUTER SCIENCE;B2
"09168532";IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS;B2
"22126678";IERI PROCEDIA;SQ
"20474938";IET BIOMETRICS;A2
"1751858X";IET CIRCUITS, DEVICES & SYSTEMS (PRINT);B1
"17518601";IET COMPUTERS & DIGITAL TECHNIQUES (PRINT);B1
"17518687";IET GENERATION, TRANSMISSION & DISTRIBUTION (PRINT);A2
"17519659";IET IMAGE PROCESSING (PRINT);A4
"1751956X";IET INTELLIGENT TRANSPORT SYSTEMS;A1
"17518733";IET MICROWAVES, ANTENNAS & PROPAGATION (ONLINE);SQ
"17518725";IET MICROWAVES, ANTENNAS & PROPAGATION (PRINT);A3
"17518814";IET SOFTWARE (ONLINE);SQ
"17518806";IET SOFTWARE (PRINT);A4
"24058963";IFAC-PAPERSONLINE;B1
"02724979";IMA JOURNAL OF NUMERICAL ANALYSIS;A1
"02628856";IMAGE AND VISION COMPUTING;A2
"2236269X";INDEPENDENT JOURNAL OF MANAGEMENT & PRODUCTION;SQ
"0143991X";INDUSTRIAL ROBOT;A4
"18085377";INFODESIGN (SBDI. ONLINE);SQ
"19818920";INFORMAÇÃO & INFORMAÇÃO;SQ
"20452322";SCIENTIFIC REPORTS;A1
"19818920";INFORMAÇÃO & INFORMAÇÃO (UEL. ONLINE);SQ
"1392124X";INFORMACINÉS TECHNOLOGIJOS IR VALDYMAS;B1
"07180764";INFORMACION TECNOLOGICA;A4
"1516084X";INFORMÁTICA NA EDUCAÇÃO;SQ
"19821654";INFORMÁTICA NA EDUCAÇÃO;SQ
"1516084X";INFORMÁTICA NA EDUCAÇÃO (IMPRESSO);SQ
"22279709";INFORMATICS;A1
"16485831";INFORMATICS IN EDUCATION;A2
"23529148";INFORMATICS IN MEDICINE UNLOCKED;A3
"20782489";INFORMATION;A4
"21663033";INFORMATION & CULTURE;SQ
"08905401";INFORMATION AND COMPUTATION (PRINT);A4
"09505849";INFORMATION AND SOFTWARE TECHNOLOGY (IST);A1
"02666669";INFORMATION DEVELOPMENT;A2
"15662535";INFORMATION FUSION (PRINT);A1
"09685227";INFORMATION MANAGEMENT & COMPUTER SECURITY;SQ
"15701255";INFORMATION POLITY;A2
"03064573";INFORMATION PROCESSING & MANAGEMENT;A1
"22143173";INFORMATION PROCESSING IN AGRICULTURE;A1
"00200190";INFORMATION PROCESSING LETTERS (PRINT);B1
"13864564";INFORMATION RETRIEVAL (BOSTON);A1
"00200255";INFORMATION SCIENCES;A1
"03064379";INFORMATION SYSTEMS (OXFORD);A2
"13873326";INFORMATION SYSTEMS FRONTIERS (PRINT);A1
"13501917";INFORMATION SYSTEMS JOURNAL;A1
"14738716";INFORMATION VISUALIZATION (PRINT);A4
"1369118X";INFORMATION, COMMUNICATION & SOCIETY;A1
"09883754";INFORMATIQUE THÉORIQUE ET APPLICATIONS (IMPRIMÉ);B3
"01003364";INFORME AGROPECUÁRIO (BELO HORIZONTE);SQ
"10919856";INFORMS JOURNAL ON COMPUTING;A4
"15265528";INFORMS JOURNAL ON COMPUTING (ONLINE);A4
"07183291";INGENIARE. REVISTA CHILENA DE INGENIERÍA (IMPRESA);B3
"01205609";INGENIERIA E INVESTIGACION;B1
"16331311";INGÉNIERIE DES SYSTEMES D'INFORMATION;B2
"16145046";INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING (PRINT);B1
"00201812";INSECTES SOCIAUX;A3
"10739149";INSTRUMENTATION SCIENCE & TECHNOLOGY;A4
"10692509";INTEGRATED COMPUTER-AIDED ENGINEERING;A1
"01679260";INTEGRATION (AMSTERDAM. PRINT);A4
"17579694";INTEGRATIVE BIOLOGY: A NEW JOURNAL OF QUANTITATIVE BIOSCIENCES FROM NANO TO MACRO;A1
"11373601";INTELIGENCIA ARTIFICIAL;B4
"10798587";INTELLIGENT AUTOMATION AND SOFT COMPUTING;B1
"1088467X";INTELLIGENT DATA ANALYSIS (PRINT);B2
"09535438";INTERACTING WITH COMPUTERS;A4
"18269745";INTERACTION DESIGN AND ARCHITECTURE(S) JOURNAL;A3
"10725520";INTERACTIONS (NEW YORK, N.Y.);B1
"17415659";INTERACTIVE TECHNOLOGY AND SMART EDUCATION;A2
"22360468";INTERCIÊNCIA & SOCIEDADE - REVISTA ELETRÔNICA;SQ
"22381295";INTERCIÊNCIA & SOCIEDADE - REVISTA ELETRÔNICA;SQ
"15522210";INTERDISCIPLINARY JOURNAL OF E-LEARNING AND LEARNING OBJECTS;SQ
"14143283";INTERFACE (BOTUCATU. IMPRESSO);B1
"18075762";INTERFACE (UNI/UNESP);B1
"00922102";INTERFACES;B1
"17557682";INTERNATIONAL ARCHIVES OF MEDICINE;SQ
"22519149";INTERNATIONAL CARDIOVASCULAR RESEARCH JOURNAL;B3
"20464568";INTERNATIONAL JOURNAL FOR E-LEARNING SECURITY;SQ
"17424712";INTERNATIONAL JOURNAL FOR INFONOMICS (IJI);SQ
"20407939";INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING (PRINT);A1
"00295981";INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING (PRINT);A1
"02712091";INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS (PRINT);A2
"19479220";INTERNATIONAL JOURNAL OF ADAPTIVE, RESILIENT AND AUTONOMIC SYSTEMS;SQ
"22516379";INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE;SQ
"2158107X";INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;B2
"22311548";INTERNATIONAL JOURNAL OF ADVANCED INFORMATION TECHNOLOGY;SQ
"23200243";INTERNATIONAL JOURNAL OF ADVANCED REMOTE SENSING AND GIS;SQ
"21654069";INTERNATIONAL JOURNAL OF ADVANCED RESEARCH IN ARTIFICIAL INTELLIGENCE (ONLINE);SQ
"2277128X";INTERNATIONAL JOURNAL OF ADVANCED RESEARCH IN COMPUTER SCIENCE AND SOFTWARE ENGINEERING;SQ
"17298806";INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS (PRINT);A4
"22787917";INTERNATIONAL JOURNAL OF ADVANCED STUDIES IN COMPUTER SCIENCE AND ENGINEERING;SQ
"17461375";INTERNATIONAL JOURNAL OF AGENT-ORIENTED SOFTWARE ENGINEERING (PRINT);SQ
"19473206";INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS;B2
"16875877";INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (ONLINE);A4
"16875869";INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (PRINT);A4
"13835416";INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS;B2
"0888613X";INTERNATIONAL JOURNAL OF APPROXIMATE REASONING;A1
"09740635";INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE;A3
"09762191";INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE & APPLICATIONS (IJAIA);SQ
"15604292";INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION (PRINT);A1
"00221694";JOURNAL OF HYDROLOGY (AMSTERDAM);A1
"14735504";INTERNATIONAL JOURNAL OF ASTROBIOLOGY (PRINT);A3
"14768186";INTERNATIONAL JOURNAL OF AUTOMATION AND COMPUTING;A1
"02181274";INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS IN APPLIED SCIENCES AND ENGINEERING;A1
"17580374";INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION (ONLINE);A2
"17445493";INTERNATIONAL JOURNAL OF BIOINFORMATICS RESEARCH AND APPLICATIONS (ONLINE);B3
"17445485";INTERNATIONAL JOURNAL OF BIOINFORMATICS RESEARCH AND APPLICATIONS (PRINT);B3
"16874196";INTERNATIONAL JOURNAL OF BIOMEDICAL IMAGING;A1
"00207128";INTERNATIONAL JOURNAL OF BIOMETEOROLOGY (PRINT);A2
"17460972";INTERNATIONAL JOURNAL OF BUSINESS INFORMATION SYSTEMS (PRINT);B1
"17438187";INTERNATIONAL JOURNAL OF BUSINESS INTELLIGENCE AND DATA MINING;B3
"17418763";INTERNATIONAL JOURNAL OF BUSINESS PROCESS INTEGRATION AND MANAGEMENT (PRINT);B2
"22128689";INTERNATIONAL JOURNAL OF CHILD-COMPUTER INTERACTION;A1
"10970088";INTERNATIONAL JOURNAL OF CLIMATOLOGY;A1
"23267550";INTERNATIONAL JOURNAL OF CLOUD COMPUTING;SQ
"17402085";INTERNATIONAL JOURNAL OF COLLABORATIVE ENTERPRISE;SQ
"20760930";INTERNATIONAL JOURNAL OF COMMUNICATION NETWORKS AND INFORMATION SECURITY (PRINT);A4
"10745351";INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS;A4
"10991131";INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS;A4
"10745351";INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS (PRINT);A4
