"producao_issn";"nome_periodico";"estrato"
"14528630";APPLICABLE ANALYSIS AND DISCRETE MATHEMATICS;A2
"08839514";APPLIED ARTIFICIAL INTELLIGENCE;B1
"15590291";APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY (ONLINE);SQ
"18690327";APPLIED CLINICAL INFORMATICS;A3
"15596915";APPLIED COMPUTING REVIEW;SQ
"15596915";APPLIED COMPUTING REVIEW;SQ
"13504851";APPLIED ECONOMICS LETTERS (PRINT);B1
"03062619";APPLIED ENERGY;A1
"08838542";APPLIED ENGINEERING IN AGRICULTURE;A4
"00036870";APPLIED ERGONOMICS;A1
"0924669X";APPLIED INTELLIGENCE (BOSTON);A2
"15737497";APPLIED INTELLIGENCE (DORDRECHT. ONLINE);A2
"0307904X";APPLIED MATHEMATICAL MODELLING;A1
"21527385";APPLIED MATHEMATICS;SQ
"00954616";APPLIED MATHEMATICS & OPTIMIZATION;A2
"00963003";APPLIED MATHEMATICS AND COMPUTATION;A1
"16627482";APPLIED MECHANICS AND MATERIALS;SQ
"16609336";APPLIED MECHANICS AND MATERIALS;SQ
"01689274";APPLIED NUMERICAL MATHEMATICS;A2
"15705838";APPLIED ONTOLOGY;A1
"18758533";APPLIED ONTOLOGY (ONLINE);A1
"09698043";APPLIED RADIATION AND ISOTOPES;B1
"20763417";APPLIED SCIENCES (SWITZERLAND);A3
"15684946";APPLIED SOFT COMPUTING (PRINT);A1
"00037028";APPLIED SPECTROSCOPY;A2
"20487703";APSIPA TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING;A4
"00039861";ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS (PRINT);A2
"00039888";ARCHIVES OF DISEASE IN CHILDHOOD;A2
"23594292";ARCHIVES OF ENDOCRINOLOGY AND METABOLISM;B1
"01674943";ARCHIVES OF GERONTOLOGY AND GERIATRICS;A1
"17341922";ARCHIVES OF MEDICAL SCIENCE;A1
"01020935";ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA;B2
"0066782X";ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO);A4
"00042773";ARQUIVOS CATARINENSES DE MEDICINA (IMPRESSO);SQ
"03817032";ARS COMBINATORIA;B3
"00043702";ARTIFICIAL INTELLIGENCE (GENERAL ED.);A1
"09248463";ARTIFICIAL INTELLIGENCE AND LAW (DORDRECHT. PRINT);A1
"09333657";ARTIFICIAL INTELLIGENCE IN MEDICINE (PRINT);A1
"19276974";ARTIFICIAL INTELLIGENCE RESEARCH;SQ
"02692821";ARTIFICIAL INTELLIGENCE REVIEW;A1
"15737462";ARTIFICIAL INTELLIGENCE REVIEW (DORDRECHT. ONLINE);A1
"10645462";ARTIFICIAL LIFE;A4
"10112367";ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES (PRINT);A2
"20503806";ASLIB JOURNAL OF INFORMATION MANAGEMENT;A2
"00219150";ATHEROSCLEROSIS (AMSTERDAM);A2
"2237826X";ATOZ: NOVAS PRÁTICAS EM INFORMAÇÃO E CONHECIMENTO;SQ
"19433921";ATTENTION, PERCEPTION & PSYCHOPHYSICS (PRINT);A1
"09288910";AUTOMATED SOFTWARE ENGINEERING;A2
"00051098";AUTOMATICA (OXFORD);A1
"15737454";AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS (DORDRECHT. ONLINE);A4
"09295593";AUTONOMOUS ROBOTS;A2
"18082386";BBR. BRAZILIAN BUSINESS REVIEW;B3
"15469735";BIODIVERSITY INFORMATICS;SQ
"0144929X";BEHAVIOUR & INFORMATION TECHNOLOGY (PRINT);A1
"22145796";BIG DATA RESEARCH;A1
"17560381";BIODATA MINING;A1
"01978462";BIOELECTROMAGNETICS;A3
"13674803";BIOINFORMATICS (OXFORD. PRINT);A1
"09732063";BIOINFORMATION (ONLINE) (CHENNAI);SQ
"03401200";BIOLOGICAL CYBERNETICS;A3
"17456150";BIOLOGY DIRECT;A1
"23146133";BIOMED RESEARCH INTERNATIONAL;A3
"23146141";BIOMED RESEARCH INTERNATIONAL;A3
"00063398";BIOMEDICAL ENGINEERING;B2
"1475925X";BIOMEDICAL ENGINEERING ONLINE (ONLINE);A2
"20571976";BIOMEDICAL PHYSICS & ENGINEERING EXPRESS;B1
"17468094";BIOMEDICAL SIGNAL PROCESSING AND CONTROL;A2
"07533322";BIOMEDICINE & PHARMACOTHERAPY;A1
"03233847";BIOMETRICAL JOURNAL (1977);A3
"15163725";BIOSCIENCE JOURNAL (UFU);B3
"03032647";BIOSYSTEMS (AMSTERDAM. PRINT);A2
"15375110";BIOSYSTEMS ENGINEERING;A1
"07366205";BIOTECHNIQUES;B1
"00063835";BIT NUMERICAL MATHEMATICS;SQ
"14712105";BMC BIOINFORMATICS;A1
"14712407";BMC CANCER (ONLINE);A3
"14712121";BMC CELL BIOLOGY (ONLINE);A4
"14712164";BMC GENOMICS;A2
"17558794";BMC MEDICAL GENOMICS;B1
"14726947";BMC MEDICAL INFORMATICS AND DECISION MAKING (ONLINE);A2
"14712180";BMC MICROBIOLOGY (ONLINE);A3
"14712377";BMC NEUROLOGY (ONLINE);B1
"14712202";BMC NEUROSCIENCE (ONLINE);A4
"17560500";BMC RESEARCH NOTES;B1
"20446055";BMJ OPEN;A2
"20524897";BMJ OPEN DIABETES RESEARCH & CARE;B1
"0103636X";BOLEMA. BOLETIM DE EDUCAÇÃO MATEMÁTICA (UNESP. RIO CLARO. IMPRESSO);B1
"19822170";BOLETIM DE CIÊNCIAS GEODÉSICAS (ONLINE);SQ
"15189082";BOLETIM TÉCNICO DA FACULDADE DE TECNOLOGIA DE SÃO PAULO;SQ
"19162804";BOTANY (OTTAWA. ONLINE);A4
"19162790";BOTANY (OTTAWA. PRINT);A4
"18632653";BRAIN STRUCTURE & FUNCTION (PRINT);A2
"15168913";BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (IMPRESSO);A4
"23174889";BRAZILIAN JOURNAL OF GEOLOGY;A4
"16798171";BRAZILIAN JOURNAL OF OPERATIONS AND PRODUCTION MANAGEMENT;SQ
"01030752";BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS;B2
"23190612";BRAZILIAN JOURNAL OF RADIATION SCIENCES;SQ
"19819854";BRAZILIAN JOURNALISM RESEARCH (ONLINE);B2
"18068324";BRAZILIAN ORAL RESEARCH (IMPRESSO);SQ
"14675463";BRIEFINGS IN BIOINFORMATICS;A1
"22310843";BRITISH JOURNAL OF APPLIED SCIENCE & TECHNOLOGY;SQ
"00071013";BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;A1
"22448659";BULLETIN OF COMPUTATIONAL APPLIED MATHEMATICS;B1
"00928240";BULLETIN OF MATHEMATICAL BIOLOGY (PRINT);A1
"23060212";BULLETIN OF THE TECHNICAL COMMITTEE ON LEARNING TECHNOLOGY;B1
"18670202";BUSINESS & INFORMATION SYSTEMS ENGINEERING;A1
"20470398";BUSINESS MANAGEMENT REVIEW (BMR);SQ
"14637154";BUSINESS PROCESS MANAGEMENT JOURNAL;A1
"01023543";C&T. REVISTA MILITAR DE CIÊNCIA E TECNOLOGIA;SQ
"00104485";CAD COMPUTER AIDED DESIGN;A2
"24466204";CADERNO DE ESTUDOS EM SISTEMAS DE INFORMAÇÃO;SQ
"15190951";CADERNOS ADENAUER (SÃO PAULO);SQ
"21782229";CADERNOS DE PESQUISA;SQ
"21782229";CADERNOS DE PESQUISA - UNIVERSIDADE FEDERAL DO MARANHÃO;SQ
"23170026";CADERNOS DE PROSPECÇÃO;SQ
"0102311X";CADERNOS DE SAÚDE PÚBLICA (ENSP. IMPRESSO);B1
"16784464";CADERNOS DE SAÚDE PÚBLICA (ONLINE);B1
"14139014";CADERNOS DO IME. SÉRIE INFORMÁTICA;SQ
"16793951";CADERNOS EBAPE.BR (FGV);SQ
"16766024";CADERNOS TÉCNICOS DE VETERINÁRIA E ZOOTECNIA (UFMG);SQ
"10667814";CANADIAN JOURNAL OF APPLIED PHYSIOLOGY;SQ
"11769351";CANCER INFORMATICS;B1
"16130073";CENTRAL EUROPE CEUR WORKSHOP PROCEEDINGS;B3
"19805322";CLINICS;A3
"18961533";CENTRAL EUROPEAN JOURNAL OF COMPUTER SCIENCE;SQ
"18951082";CENTRAL EUROPEAN JOURNAL OF PHYSICS (PRINT);A4
"10897682";CHAOS (WOODBURY, N.Y. ONLINE);A1
"10541500";CHAOS (WOODBURY, N.Y.);A1
"09600779";CHAOS, SOLITONS AND FRACTALS;A1
"19749791";CHEMICAL ENGINEERING TRANSACTIONS;SQ
"22839216";CHEMICAL ENGINEERING TRANSACTIONS;B1
"03667022";CHEMISTRY LETTERS;A4
"07187912";CHILEAN JOURNAL OF STATISTICS;SQ
"16735447";CHINA COMMUNICATIONS;A3
"00096725";CIÊNCIA E CULTURA;SQ
"01008307";CIÊNCIA E NATURA;SQ
"2179460X";CIÊNCIA E NATURA;SQ
"14138123";CIENCIA E SAUDE COLETIVA;B1
"01038478";CIÊNCIA RURAL (UFSM. IMPRESSO);A4
"18065821";CIÊNCIAS & COGNIÇÃO (UFRJ);SQ
"19820801";CIENTÍFICA CET-FAESA;SQ
"22389032";CIPPUS - REVISTA DE INICIAÇÃO CIENTÍFICA DA UNILASALLE;SQ
"0278081X";CIRCUITS, SYSTEMS, AND SIGNAL PROCESSING;A2
"00097322";CIRCULATION (NEW YORK, N.Y.);A1
"07175000";CLEI ELECTRONIC JOURNAL;SQ
"09307575";CLIMATE DYNAMICS;A2
"22120963";CLIMATE RISK MANAGEMENT;A1
"01650009";CLIMATIC CHANGE;A2
"1413571X";CLÍNICA VETERINÁRIA;SQ
"15500594";CLINICAL EEG AND NEUROSCIENCE;A4
"13867857";CLUSTER COMPUTING;A4
"18096875";COFFEE SCIENCE;B3
"21769133";COGITARE ENFERMAGEM;SQ
"14355558";COGNITION, TECHNOLOGY & WORK (PRINT);A1
"18669956";COGNITIVE COMPUTATION (PRINT);A1
"16124782";COGNITIVE PROCESSING (PRINT);B1
"13890417";COGNITIVE SYSTEMS RESEARCH;A1
"0303402X";COLLOID AND POLYMER SCIENCE (PRINT);A4
"09635483";COMBINATORICS, PROBABILITY & COMPUTING (PRINT);A3
"00102180";COMBUSTION AND FLAME;A1
"18650929";COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE (PRINT);B2
"15396746";COMMUNICATIONS IN MATHEMATICAL SCIENCES;A3
"10075704";COMMUNICATIONS IN NONLINEAR SCIENCE & NUMERICAL SIMULATION;A1
"03610918";COMMUNICATIONS IN STATISTICS. SIMULATION AND COMPUTATION;A4
"15324141";COMMUNICATIONS IN STATISTICS. SIMULATION AND COMPUTATION,;A4
"03610926";COMMUNICATIONS IN STATISTICS. THEORY AND METHODS;B1
"00010782";COMMUNICATIONS OF THE ACM;A1
"08912513";COMPLEX SYSTEMS;B3
"16723813";COMPLEX SYSTEMS AND COMPLEXITY SCIENCE;B4
"02638223";COMPOSITE STRUCTURES;A1
"02663538";COMPOSITES SCIENCE AND TECHNOLOGY;A1
"13598368";COMPOSITES. PART B, ENGINEERING;A1
SQ;COMPUTAÇÃO BRASIL;C
"01018205";COMPUTATIONAL & APPLIED MATHEMATICS;SQ
"18070302";COMPUTATIONAL & APPLIED MATHEMATICS;A3
"22383603";COMPUTATIONAL AND APPLIED MATHEMATICS;A3
"1748670X";COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE (PRINT);A2
"1381298X";COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY;A2
"14769271";COMPUTATIONAL BIOLOGY AND CHEMISTRY (PRINT);A2
"09257721";COMPUTATIONAL GEOMETRY;A4
"14200597";COMPUTATIONAL GEOSCIENCES (AMSTERDAM);A2
"08247935";COMPUTATIONAL INTELLIGENCE;A4
"14678640";COMPUTATIONAL INTELLIGENCE (ONLINE);A4
"16875265";COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE;A1
"08912017";COMPUTATIONAL LINGUISTICS;A1
"15309312";COMPUTATIONAL LINGUISTICS - ASSOCIATION FOR COMPUTATIONAL LINGUISTICS (ONLINE);A1
"08912017";COMPUTATIONAL LINGUISTICS (PRINT);A1
"09266003";COMPUTATIONAL OPTIMIZATION AND APPLICATIONS;A2
"15732894";COMPUTATIONAL OPTIMIZATION AND APPLICATIONS (DORDRECHT. ONLINE);A2
"17494680";COMPUTATIONAL SCIENCE & DISCOVERY;A1
"09434062";COMPUTATIONAL STATISTICS (ZEITSCHRIFT);A4
"01679473";COMPUTATIONAL STATISTICS & DATA ANALYSIS (PRINT);A3
"19402503";COMPUTATIONAL THERMAL SCIENCES;B2
"00189162";COMPUTER;A1
"01678396";COMPUTER AIDED GEOMETRIC DESIGN;A4
"19138997";COMPUTER AND INFORMATION SCIENCE (ONLINE);SQ
"15464261";COMPUTER ANIMATION AND VIRTUAL WORLDS;A4
"10613773";COMPUTER APPLICATIONS IN ENGINEERING EDUCATION;A2
"01635964";COMPUTER ARCHITECTURE NEWS;SQ
"01464833";COMPUTER COMMUNICATION REVIEW;A3
"01403664";COMPUTER COMMUNICATIONS;A2
"14678659";COMPUTER GRAPHICS FORUM (ONLINE);A2
"01677055";COMPUTER GRAPHICS FORUM (PRINT);A2
"14602067";COMPUTER JOURNAL (ONLINE);A4
"00104620";COMPUTER JOURNAL (PRINT);A4
"14778424";COMPUTER LANGUAGES, SYSTEMS & STRUCTURES;A4
"01692607";COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE (PRINT);A1
"00457825";COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING;A1
"21681163";COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING: IMAGING AND VISUALIZATION;A3
"15261492";COMPUTER MODELING IN ENGINEERING & SCIENCES;B2
"15261506";COMPUTER MODELING IN ENGINEERING & SCIENCES;B2
"13891286";COMPUTER NETWORKS (1999);A2
"00104655";COMPUTER PHYSICS COMMUNICATIONS;A1
"21631492";COMPUTER SCIENCE AND ENGINEERING;SQ
"17445175";COMPUTER SCIENCE EDUCATION;A1
"15740137";COMPUTER SCIENCE REVIEW;A1
"08852308";COMPUTER SPEECH & LANGUAGE (PRINT);A2
"09205489";COMPUTER STANDARDS & INTERFACES;A1
"09259724";COMPUTER SUPPORTED COOPERATIVE WORK;A2
"02676192";COMPUTER SYSTEMS SCIENCE AND ENGINEERING;B2
"19347332";COMPUTER TECHNOLOGY AND APPLICATION;SQ
"10773142";COMPUTER VISION AND IMAGE UNDERSTANDING (PRINT);A1
"08956111";COMPUTERIZED MEDICAL IMAGING AND GRAPHICS;A1
"2073431X";COMPUTERS;A4
"00981354";COMPUTERS & CHEMICAL ENGINEERING;A2
"00457906";COMPUTERS & ELECTRICAL ENGINEERING;A1
"00457930";COMPUTERS & FLUIDS;A1
"00983004";COMPUTERS & GEOSCIENCES;A2
