"curriculo_id";"titulo_artigo";"nome_evento";"titulo_anais_ou_proceedings";"ano_trabalho"
1512846862093142;Utilização de Modelos Mentais para Representação de Estruturas Cognitivas de Aplicativos TVDi;XXVII Simpósio Brasileiro de Informática na Educação;org.crossref.xschema._1.Title@5c2ac979;2016
1512846862093142;Um Estudo de Caso de Expressividade do Meta-Modelo de Monetização de Jogos Meta-F2P;"22nd WebMedia";"22nd WebMedia";2016
1512846862093142;Specifying a Domain Specific Language for Simplifying the Authoring of Digital TV Applications;WebMedia 2016;WebMedia 2016;2016
1512846862093142;SceneSync;the 22nd Brazilian Symposium;"Proceedings of the 22nd Brazilian Symposium on Multimedia and the Web - Webmedia '16";2016
1512846862093142;Lua2NCL;the 22nd Brazilian Symposium;"Proceedings of the 22nd Brazilian Symposium on Multimedia and the Web - Webmedia '16";2016
1512846862093142;JOGOS EDUCATIVOS E FERRAMENTAS DE AUTORIA MULTIMÍDIA: UM ESTUDO EXPLORATÓRIO SOBRE QUEBRA-CABEÇAS DIGITAIS NO CONTEXTO DO ENSINO-APRENDIZAGEM;"12º Congresso Brasileiro de Pesquisa e Desenvolvimento em Design";Blucher Design Proceedings;2016
1512846862093142;Game of Code : aplicando gamificação em disciplinas de programação;SBGames 2016;SBGames;2016
1512846862093142;Framework Dirigido por Modelos para Monetizacão de Jogos Free-to-Play;SBGames 2016;SBGames 2016;2016
1512846862093142;FERRAMENTA DE AUTORIA: APLICAÇÕES MULTIMÍDIA PARA DESENVOLVIMENTO DE UM JOGO QUIZ PARA A MODALIDADE EAD;V Ergotrip Design;V Ergotrip Design;2016
1512846862093142;Creating Non-Linear Interactive Narratives with Fábulas Model;the 22nd Brazilian Symposium;"Proceedings of the 22nd Brazilian Symposium on Multimedia and the Web - Webmedia '16";2016
1512846862093142;Usability-based Language for Authoring NCL Documents;the 23rd Brazillian Symposium;"Proceedings of the 23rd Brazillian Symposium on Multimedia and the Web - WebMedia '17";2017
1512846862093142;Towards a Model and a Textual Representation for Location-based Games;the 2017 ACM Symposium;"Proceedings of the 2017 ACM Symposium on Document Engineering - DocEng '17";2017
1512846862093142;The Fábulas Model for Authoring Web-based Children's eBooks;the 2017 ACM Symposium;"Proceedings of the 2017 ACM Symposium on Document Engineering - DocEng '17";2017
1512846862093142;Lessons Learned from Evaluating an Authoring Tool for Learning Objects;International Conference on Learning and Collaboration Technologies;International Conference on Learning and Collaboration Technologies;2017
1512846862093142;Integrating Participatory and Interaction Design of an Authoring Tool for Learning Objects Involving a Multidisciplinary Team;International Conference of Design, User Experience, and Usability;International Conference of Design, User Experience, and Usability;2017
1512846862093142;Game of Code: desenvolvimento e avaliação de uma atividade gamificada para disciplinas de programação;XVI Simpósio Brasileiro de Jogos e Entretenimento Digital;XVI Simpósio Brasileiro de Jogos e Entretenimento Digital;2017
1512846862093142;Evaluating LeGaL;"23rd Brazillian Symposium on Multimedia and the Web";"Proceedings of the 23rd Brazillian Symposium on Multimedia and the Web - WebMedia '17";2017
1512846862093142;A Model-based Approach for Designing Location-based Games;Simpósio Brasileiro de Jogos e Entretenimento Digital;Simpósio Brasileiro de Jogos e Entretenimento Digital;2017
1512846862093142;A Hypervideo Model for Learning Objects;the 28th ACM Conference;"Proceedings of the 28th ACM Conference on Hypertext and Social Media - HT '17";2017
1512846862093142;Proposta e Avaliação de um Jogo Digital para o Auxílio no Ensino de Tipos de Dados;Jornada de Informática do Maranhão 2018;Jornada de Informática do Maranhão 2018;2018
1512846862093142;Meta-Ads: Um Meta-modelo para Monetização de Jogos com Propagandas;Brazilian Symposium on Computer Games and Digital Entertainment;Brazilian Symposium on Computer Games and Digital Entertainment;2018
1512846862093142;Introducing Different Levels of Reuse to a Hypermedia Authoring Language with Macros and Templates;the 24th Brazilian Symposium;"Proceedings of the 24th Brazilian Symposium on Multimedia and the Web - WebMedia '18";2018
1512846862093142;Exploring an AR-based User Interface for Authoring Multimedia Presentations;the ACM Symposium;"Proceedings of the ACM Symposium on Document Engineering 2018 - DocEng '18";2018
1512846862093142;Dynamic Integration of Foreign-Language Parsers into an NCL Player;the 24th Brazilian Symposium;"Proceedings of the 24th Brazilian Symposium on Multimedia and the Web - WebMedia '18";2018
1512846862093142;Cosmo: Um ambiente virtual de aprendizado com foco no Ensino de Algoritmos;Workshop de Ensino de Informática;XVIII CONGRESSO DA SOCIE DADE BRASILEIRA DE COMPUTAÇÃO.;2018
1512846862093142;Avaliação da Aplicação de Jogos no Ensino de Programação: Uma Experiência Em Uma Disciplina Introdutória;XXIX Simpósio Brasileiro de Informática na Educação (Brazilian Symposium on Computers in Education);org.crossref.xschema._1.Title@67f5ef0d;2018
1512846862093142;Uma Aplicação Web para Predição de Desempenho de Alunos;ERCEMAPI - VII Escola Regional de Computação - Ceará, Maranhão e Piauí;VII Escola Regional de Computação - Ceará, Maranhão e Piauí;2019
1512846862093142;Towards the use of Hyperknowledge in Educational Domain through Mutimedia Trails;First International Workshop on Bridging the Gap between Semantics and Multimedia Processing (SeMP 2019);"21st IEEE International Symposium on  Multimedia (IEEE ISM)";2019
1512846862093142;Increasing reuse in learning objects authoring;the 25th Brazillian Symposium;"Proceedings of the 25th Brazillian Symposium on Multimedia and the Web - WebMedia '19";2019
1512846862093142;Improving the Authoring of Web-based Interactive E-books with FableJS;ERCEMAPI 2019 - VII Escola Regional de Computação - Ceará, Maranhão e Piauí;VII Escola Regional de Computação - Ceará, Maranhão e Piauí;2019
1512846862093142;BumbAR: Multimedia Authoring Through Augmented Reality;XXV Simpósio Brasileiro de Sistemas Multimídia e Web;Anais Estendidos do Simpósio Brasileiro de Sistemas Multimídia e Web (WebMedia);2019
1512846862093142;Análise da Gamificação de um Ambiente Virtual de Aprendizagem Baseada nos Perfis de Bartle;XXX Simpósio Brasileiro de Informática na Educação (Brazilian Symposium on Computers in Education);Anais do XXX Simpósio Brasileiro de Informática na Educação (SBIE 2019);2019
1512846862093142;Analise do Modelo BKT na Avaliacão da Curva de Aprendizagem de Alunos de Algoritmos;XXX Simpósio Brasileiro de Informática na Educação (Brazilian Symposium on Computers in Education);Anais do XXX Simpósio Brasileiro de Informática na Educação (SBIE 2019);2019
1512846862093142;A Proposal of Educational Video Gamification as a Service;XXV Simpósio Brasileiro de Sistemas Multimídia e Web;Anais Estendidos do Simpósio Brasileiro de Sistemas Multimídia e Web (WebMedia);2019
1512846862093142;A MIDDLEWARE PERSPECTIVE FOR INTEGRATING GINGA-NCL APPLICATIONS WITH THE INTERNET OF THINGS;XVII Workshop de Teses e Dissertações (WTD), evento vinculado ao XXIII Simpósio Brasileiro de Sistemas Multimídia e Web (WebMedia 2017);Anais do XXIII  Simpósio Brasileiro de Sistemas Multimídia e Web (WebMedia 2017);2019
1512846862093142;A Landscape of Digital Tools for Role Playing Games Sessions;Brazilian Symposium on Computer Games and Digital Entertainment (SBGAMES);Brazilian Symposium on Computer Games and Digital Entertainment;2019
1512846862093142;Shaping the Video Conferences of Tomorrow With AI;Webmedia 2020 - Workshop 'O Futuro da Videocolaboração';"2020: ANAIS ESTENDIDOS DO XXVI SIMPÓSIO BRASILEIRO DE SISTEMAS MULTIMÍDIA E WEB";2020
1512846862093142;Recommendation of Educational Content to Improve Student Performance: An Approach based on Learning Styles;"12th International Conference on Computer Supported Education";Proceedings of the 12th International Conference on Computer Supported Education;2020
1512846862093142;ListeningTV: Accessible Video using Interactive Audio Descriptions;Workshop de Ferramentas e Aplicações;"2020: ANAIS ESTENDIDOS DO XXVI SIMPÓSIO BRASILEIRO DE SISTEMAS MULTIMÍDIA E WEB";2020
1512846862093142;Análise de modelo para a tomada de decisões pedagógicas em um ambiente voltado ao aprendizado de algoritmos;Simpósio Brasileiro de Informática na Educaçã;Anais do Simpósio Brasileiro de Informática na Educaçã (SBIE 2020);2020
1512846862093142;Analise da Capacidade Preditiva de Técnicas para Modelagem do Conhecimento Aplicadas ao Aprendizado de Algoritmos;Simpósio Brasileiro de Informática na Educaçã;Anais do Simpósio Brasileiro de Informática na Educaçã (SBIE 2020);2020
1512846862093142;Quality Assessment of Learners? Programs by Grouping Source Code Metrics;"13th International Conference on Computer Supported Education";Proceedings of the 13th International Conference on Computer Supported Education;2021
1531971102610447;Creating Non-Linear Interactive Narratives with Fábulas Model;the 22nd Brazilian Symposium;"Proceedings of the 22nd Brazilian Symposium on Multimedia and the Web - Webmedia '16";2016
1531971102610447;DOTSIM - A Simulation-based Optimization Methodology for the Optimal Duplication Sequence on Freight Transportation Systems;"19th International Conference on Enterprise Information Systems";Proceedings of the 19th International Conference on Enterprise Information Systems;2017
1531971102610447;DIREITO AUTORAL DE SOFTWARES DESENVOLVIDOS EM CROWDSOURCING: condições e possibilidades de sua proteção através de smart contracts;"13º Congresso de Direito de Autor e Interesse Público";Direito Autoral e Novas Tecnologias;2019
1711180190759554;Heurísticas para o Problema de Localização de Contadores de Tráfego em Redes de Transporte;XXX Congresso Nacional de Pesquisa em Transporte da ANPET;Anais do Congresso XXX ANPET 2016;2016
1711180190759554;Um algoritmo Branch-and-Cut para o problema de Localização Ótima de Contadores de Tráfego em Redes de Transporte;XLIX Simpósio Brasileiro de Pesquisa Operacional;XLIX SBPO;2017
1711180190759554;Meta-heurística CS para o Problema de Localização de Contadores de Tráfego em Redes de Transporte;XLIX SBPO;XLIX Simpósio Brasileiro de Pesquisa Operacional;2017
1711180190759554;BRKGA com população mista aplicado ao problema de localização de contadores de tráfego em redes de transporte;XLIX SBPO;XLIX Simpósio Brasileiro de Pesquisa Operacional;2017
1711180190759554;Applying the MVC EA-IRPM to reporting-guidelines in medicine: A strategy that is a web system;"2017 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI)";"2017 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI)";2017
